accuracy,loss,val_accuracy,val_loss,learning_rate
0.712837815284729,0.6067344546318054,0.9538461565971375,0.23395779728889465,9.999999747378752e-05
0.9087837934494019,0.23605366051197052,0.9653846025466919,0.11558518558740616,9.999999747378752e-05
0.9541505575180054,0.14116451144218445,0.9846153855323792,0.07839474081993103,9.999999747378752e-05
0.9642857313156128,0.1055908352136612,0.9884615540504456,0.0656251311302185,9.999999747378752e-05
0.9666988253593445,0.09619102627038956,0.9846153855323792,0.05686449259519577,9.999999747378752e-05
0.9739382266998291,0.08056816458702087,0.9884615540504456,0.055830903351306915,9.999999747378752e-05
0.9773166179656982,0.06642403453588486,0.9846153855323792,0.05460700765252113,9.999999747378752e-05
0.9797297120094299,0.0590473972260952,0.9884615540504456,0.04951746389269829,9.999999747378752e-05
0.9840733408927917,0.05136822164058685,0.9884615540504456,0.05148061364889145,9.999999747378752e-05
0.9826254844665527,0.053497955203056335,0.9884615540504456,0.048907313495874405,9.999999747378752e-05
0.9864864945411682,0.04720465838909149,0.9884615540504456,0.0474102608859539,9.999999747378752e-05
0.9879343509674072,0.03741513192653656,0.9884615540504456,0.04759061336517334,9.999999747378752e-05
0.9860038757324219,0.04069666564464569,0.9884615540504456,0.04754003882408142,9.999999747378752e-05
0.9864864945411682,0.038998160511255264,0.9884615540504456,0.04728395491838455,9.999999747378752e-05
0.9855212569236755,0.0379008874297142,0.9923076629638672,0.05075467377901077,9.999999747378752e-05
0.9888995885848999,0.033529236912727356,0.9884615540504456,0.04848961532115936,9.999999747378752e-05
0.9869691133499146,0.040129486471414566,0.9923076629638672,0.049176398664712906,9.999999747378752e-05
0.9898648858070374,0.03045695833861828,0.9923076629638672,0.04942852258682251,1.9999999494757503e-05
0.9884169697761536,0.03279303014278412,0.9923076629638672,0.04912890866398811,1.9999999494757503e-05
